"Location","Education","TimeFrame","EducationNumber","Population"
"Arizona","Graduate degree",2017-01-01,"361000","3525234"
"Arizona","Not a high school graduate",2016-01-01,"467000","3472286"
"Arizona","High school diploma or GED",2016-01-01,"1685000","3472286"
"Arizona","Associate Degree",2016-01-01,"308000","3472286"
"Arizona","Bachelor's Degree",2016-01-01,"649000","3472286"
"Arizona","Graduate degree",2016-01-01,"348000","3472286"
"Arizona","Not a high school graduate",2012-01-01,"456000","3305770"
"Arizona","High school diploma or GED",2012-01-01,"1640000","3305770"
"Arizona","Associate Degree",2012-01-01,"301000","3305770"
"Arizona","Bachelor's Degree",2012-01-01,"593000","3305770"
"Arizona","Graduate degree",2012-01-01,"320000","3305770"
"Arizona","Not a high school graduate",2011-01-01,"459000","3288007"
"Arizona","High school diploma or GED",2011-01-01,"1653000","3288007"
"Arizona","Associate Degree",2011-01-01,"295000","3288007"
"Arizona","Bachelor's Degree",2011-01-01,"581000","3288007"
"Arizona","Graduate degree",2011-01-01,"300000","3288007"
"Arizona","Not a high school graduate",2010-01-01,"451000","3255848"
"Arizona","High school diploma or GED",2010-01-01,"1664000","3255848"
"Arizona","Associate Degree",2010-01-01,"288000","3255848"
"Arizona","Bachelor's Degree",2010-01-01,"565000","3255848"
"Arizona","Graduate degree",2010-01-01,"292000","3255848"
"Arizona","Not a high school graduate",2015-01-01,"479000","3416786"
"Arizona","High school diploma or GED",2015-01-01,"1687000","3416786"
"Arizona","Associate Degree",2015-01-01,"306000","3416786"
"Arizona","Bachelor's Degree",2015-01-01,"614000","3416786"
"Arizona","Graduate degree",2015-01-01,"331000","3416786"
"Arizona","Not a high school graduate",2014-01-01,"466000","3369939"
"Arizona","High school diploma or GED",2014-01-01,"1661000","3369939"
"Arizona","Associate Degree",2014-01-01,"308000","3369939"
"Arizona","Bachelor's Degree",2014-01-01,"597000","3369939"
"Arizona","Graduate degree",2014-01-01,"333000","3369939"
"Arizona","Not a high school graduate",2013-01-01,"467000","3331598"
"Arizona","High school diploma or GED",2013-01-01,"1632000","3331598"
"Arizona","Associate Degree",2013-01-01,"310000","3331598"
"Arizona","Bachelor's Degree",2013-01-01,"593000","3331598"
"Arizona","Graduate degree",2013-01-01,"324000","3331598"
"Arkansas","Not a high school graduate",2019-01-01,"167000","1516740"
"Arkansas","High school diploma or GED",2019-01-01,"851000","1516740"
"Arkansas","Associate Degree",2019-01-01,"126000","1516740"
"Arkansas","Bachelor's Degree",2019-01-01,"242000","1516740"
"Arkansas","Graduate degree",2019-01-01,"126000","1516740"
"Arkansas","Not a high school graduate",2018-01-01,"170000","1517507"
"Arkansas","High school diploma or GED",2018-01-01,"850000","1517507"
"Arkansas","Associate Degree",2018-01-01,"131000","1517507"
"Arkansas","Bachelor's Degree",2018-01-01,"235000","1517507"
"Arkansas","Graduate degree",2018-01-01,"129000","1517507"
"Arkansas","Not a high school graduate",2017-01-01,"179000","1518188"
"Arkansas","High school diploma or GED",2017-01-01,"841000","1518188"
"Arkansas","Associate Degree",2017-01-01,"122000","1518188"
"Arkansas","Bachelor's Degree",2017-01-01,"241000","1518188"
"Arkansas","Graduate degree",2017-01-01,"128000","1518188"
"Arkansas","Not a high school graduate",2016-01-01,"186000","1514281"
"Arkansas","High school diploma or GED",2016-01-01,"854000","1514281"
"Arkansas","Associate Degree",2016-01-01,"112000","1514281"
"Arkansas","Bachelor's Degree",2016-01-01,"230000","1514281"
"Arkansas","Graduate degree",2016-01-01,"122000","1514281"
"Arkansas","Not a high school graduate",2012-01-01,"198000","1508199"
"Arkansas","High school diploma or GED",2012-01-01,"868000","1508199"
"Arkansas","Associate Degree",2012-01-01,"106000","1508199"
"Arkansas","Bachelor's Degree",2012-01-01,"225000","1508199"
"Arkansas","Graduate degree",2012-01-01,"110000","1508199"
"Arkansas","Not a high school graduate",2011-01-01,"208000","1512068"
"Arkansas","High school diploma or GED",2011-01-01,"879000","1512068"
"Arkansas","Associate Degree",2011-01-01,"100000","1512068"
"Arkansas","Bachelor's Degree",2011-01-01,"217000","1512068"
"Arkansas","Graduate degree",2011-01-01,"110000","1512068"
"Arkansas","Not a high school graduate",2010-01-01,"212000","1503270"
"Arkansas","High school diploma or GED",2010-01-01,"869000","1503270"
"Arkansas","Associate Degree",2010-01-01,"108000","1503270"
"Arkansas","Bachelor's Degree",2010-01-01,"215000","1503270"
"Arkansas","Graduate degree",2010-01-01,"95000","1503270"
"Arkansas","Not a high school graduate",2015-01-01,"194000","1509095"
"Arkansas","High school diploma or GED",2015-01-01,"855000","1509095"
"Arkansas","Associate Degree",2015-01-01,"116000","1509095"
"Arkansas","Bachelor's Degree",2015-01-01,"227000","1509095"
"Arkansas","Graduate degree",2015-01-01,"118000","1509095"
"Arkansas","Not a high school graduate",2014-01-01,"186000","1504957"
"Arkansas","High school diploma or GED",2014-01-01,"869000","1504957"
"Arkansas","Associate Degree",2014-01-01,"109000","1504957"
"Arkansas","Bachelor's Degree",2014-01-01,"226000","1504957"
"Arkansas","Graduate degree",2014-01-01,"113000","1504957"
"Arkansas","Not a high school graduate",2013-01-01,"201000","1506204"
"Arkansas","High school diploma or GED",2013-01-01,"872000","1506204"
"Arkansas","Associate Degree",2013-01-01,"106000","1506204"
"Arkansas","Bachelor's Degree",2013-01-01,"218000","1506204"
"Arkansas","Graduate degree",2013-01-01,"110000","1506204"
"California","Not a high school graduate",2019-01-01,"3197000","21066907"
"California","High school diploma or GED",2019-01-01,"8701000","21066907"
"California","Associate Degree",2019-01-01,"1660000","21066907"
"California","Bachelor's Degree",2019-01-01,"4816000","21066907"
"California","Graduate degree",2019-01-01,"2729000","21066907"
"California","Not a high school graduate",2018-01-01,"3258000","21086629"
"California","High school diploma or GED",2018-01-01,"8851000","21086629"
"California","Associate Degree",2018-01-01,"1693000","21086629"
"California","Bachelor's Degree",2018-01-01,"4671000","21086629"
"California","Graduate degree",2018-01-01,"2675000","21086629"
"California","Not a high school graduate",2017-01-01,"3348000","21035043"
"California","High school diploma or GED",2017-01-01,"8918000","21035043"
"California","Associate Degree",2017-01-01,"1656000","21035043"
"California","Bachelor's Degree",2017-01-01,"4641000","21035043"
"California","Graduate degree",2017-01-01,"2611000","21035043"
"California","Not a high school graduate",2016-01-01,"3525000","20909755"
"California","High school diploma or GED",2016-01-01,"8765000","20909755"
"California","Associate Degree",2016-01-01,"1638000","20909755"
"California","Bachelor's Degree",2016-01-01,"4501000","20909755"
"California","Graduate degree",2016-01-01,"2527000","20909755"
"California","Not a high school graduate",2012-01-01,"3577000","20156216"
"California","High school diploma or GED",2012-01-01,"8593000","20156216"
"California","Associate Degree",2012-01-01,"1637000","20156216"
"California","Bachelor's Degree",2012-01-01,"4133000","20156216"
"California","Graduate degree",2012-01-01,"2241000","20156216"
"California","Not a high school graduate",2011-01-01,"3606000","20030994"
"California","High school diploma or GED",2011-01-01,"8642000","20030994"
"California","Associate Degree",2011-01-01,"1588000","20030994"
"California","Bachelor's Degree",2011-01-01,"4010000","20030994"
"California","Graduate degree",2011-01-01,"2199000","20030994"
"California","Not a high school graduate",2010-01-01,"3649000","19834006"
"California","High school diploma or GED",2010-01-01,"8489000","19834006"
"California","Associate Degree",2010-01-01,"1568000","19834006"
"California","Bachelor's Degree",2010-01-01,"3966000","19834006"
"California","Graduate degree",2010-01-01,"2156000","19834006"
"California","Not a high school graduate",2015-01-01,"3577000","20727960"
"California","High school diploma or GED",2015-01-01,"8848000","20727960"
"California","Associate Degree",2015-01-01,"1618000","20727960"
"California","Bachelor's Degree",2015-01-01,"4408000","20727960"
"California","Graduate degree",2015-01-01,"2445000","20727960"
"California","Not a high school graduate",2014-01-01,"3543000","20520941"
"California","High school diploma or GED",2014-01-01,"8812000","20520941"
"California","Associate Degree",2014-01-01,"1644000","20520941"
"California","Bachelor's Degree",2014-01-01,"4284000","20520941"
"California","Graduate degree",2014-01-01,"2381000","20520941"
"California","Not a high school graduate",2013-01-01,"3581000","20325199"
"California","High school diploma or GED",2013-01-01,"8709000","20325199"
"California","Associate Degree",2013-01-01,"1640000","20325199"
"California","Bachelor's Degree",2013-01-01,"4120000","20325199"
"California","Graduate degree",2013-01-01,"2303000","20325199"
"Colorado","Not a high school graduate",2019-01-01,"233000","3130865"
"Colorado","High school diploma or GED",2019-01-01,"1258000","3130865"
"Colorado","Associate Degree",2019-01-01,"274000","3130865"
"Colorado","Bachelor's Degree",2019-01-01,"883000","3130865"
"Colorado","Graduate degree",2019-01-01,"481000","3130865"
"Colorado","Not a high school graduate",2018-01-01,"247000","3100123"
"Colorado","High school diploma or GED",2018-01-01,"1265000","3100123"
"Colorado","Associate Degree",2018-01-01,"271000","3100123"
"Colorado","Bachelor's Degree",2018-01-01,"843000","3100123"
"Colorado","Graduate degree",2018-01-01,"467000","3100123"
"Colorado","Not a high school graduate",2017-01-01,"250000","3058051"
"Colorado","High school diploma or GED",2017-01-01,"1258000","3058051"
"Colorado","Associate Degree",2017-01-01,"263000","3058051"
"Colorado","Bachelor's Degree",2017-01-01,"834000","3058051"
"Colorado","Graduate degree",2017-01-01,"443000","3058051"
"Colorado","Not a high school graduate",2016-01-01,"254000","3017192"
"Colorado","High school diploma or GED",2016-01-01,"1257000","3017192"
"Colorado","Associate Degree",2016-01-01,"275000","3017192"
"Colorado","Bachelor's Degree",2016-01-01,"784000","3017192"
"Colorado","Graduate degree",2016-01-01,"433000","3017192"
"Colorado","Not a high school graduate",2012-01-01,"253000","2843561"
"Colorado","High school diploma or GED",2012-01-01,"1235000","2843561"
"Colorado","Associate Degree",2012-01-01,"254000","2843561"
"Colorado","Bachelor's Degree",2012-01-01,"709000","2843561"
"Colorado","Graduate degree",2012-01-01,"382000","2843561"
"Colorado","Not a high school graduate",2011-01-01,"253000","2816851"
"Colorado","High school diploma or GED",2011-01-01,"1238000","2816851"
"Colorado","Associate Degree",2011-01-01,"253000","2816851"
"Colorado","Bachelor's Degree",2011-01-01,"694000","2816851"
"Colorado","Graduate degree",2011-01-01,"374000","2816851"
"Colorado","Not a high school graduate",2010-01-01,"264000","2776379"
"Colorado","High school diploma or GED",2010-01-01,"1235000","2776379"
"Colorado","Associate Degree",2010-01-01,"232000","2776379"
"Colorado","Bachelor's Degree",2010-01-01,"687000","2776379"
"Colorado","Graduate degree",2010-01-01,"358000","2776379"
"Colorado","Not a high school graduate",2015-01-01,"249000","2967219"
"Colorado","High school diploma or GED",2015-01-01,"1268000","2967219"
"Colorado","Associate Degree",2015-01-01,"260000","2967219"
"Colorado","Bachelor's Degree",2015-01-01,"769000","2967219"
"Colorado","Graduate degree",2015-01-01,"414000","2967219"
"Colorado","Not a high school graduate",2014-01-01,"263000","2913040"
"Colorado","High school diploma or GED",2014-01-01,"1243000","2913040"
"Colorado","Associate Degree",2014-01-01,"256000","2913040"
"Colorado","Bachelor's Degree",2014-01-01,"736000","2913040"
"Colorado","Graduate degree",2014-01-01,"407000","2913040"
"Colorado","Not a high school graduate",2013-01-01,"259000","2876772"
"Colorado","High school diploma or GED",2013-01-01,"1245000","2876772"
"Colorado","Associate Degree",2013-01-01,"257000","2876772"
"Colorado","Bachelor's Degree",2013-01-01,"722000","2876772"
"Colorado","Graduate degree",2013-01-01,"387000","2876772"
"Connecticut","Not a high school graduate",2019-01-01,"149000","1865874"
"Connecticut","High school diploma or GED",2019-01-01,"793000","1865874"
"Connecticut","Associate Degree",2019-01-01,"146000","1865874"
"Connecticut","Bachelor's Degree",2019-01-01,"445000","1865874"
"Connecticut","Graduate degree",2019-01-01,"334000","1865874"
"Connecticut","Not a high school graduate",2018-01-01,"149000","1877101"
"Connecticut","High school diploma or GED",2018-01-01,"796000","1877101"
"Connecticut","Associate Degree",2018-01-01,"155000","1877101"
"Connecticut","Bachelor's Degree",2018-01-01,"446000","1877101"
"Connecticut","Graduate degree",2018-01-01,"335000","1877101"
"Connecticut","Not a high school graduate",2017-01-01,"156000","1881715"
"Connecticut","High school diploma or GED",2017-01-01,"807000","1881715"
"Connecticut","Associate Degree",2017-01-01,"161000","1881715"
"Connecticut","Bachelor's Degree",2017-01-01,"442000","1881715"
"Connecticut","Graduate degree",2017-01-01,"326000","1881715"
"Connecticut","Not a high school graduate",2016-01-01,"146000","1889187"
"Connecticut","High school diploma or GED",2016-01-01,"822000","1889187"
"Connecticut","Associate Degree",2016-01-01,"150000","1889187"
"Connecticut","Bachelor's Degree",2016-01-01,"455000","1889187"
"Connecticut","Graduate degree",2016-01-01,"317000","1889187"
"Connecticut","Not a high school graduate",2012-01-01,"154000","1922961"
"Connecticut","High school diploma or GED",2012-01-01,"858000","1922961"
"Connecticut","Associate Degree",2012-01-01,"154000","1922961"
"Connecticut","Bachelor's Degree",2012-01-01,"429000","1922961"
"Connecticut","Graduate degree",2012-01-01,"331000","1922961"
"Connecticut","Not a high school graduate",2011-01-01,"167000","1929757"
"Connecticut","High school diploma or GED",2011-01-01,"867000","1929757"
"Connecticut","Associate Degree",2011-01-01,"155000","1929757"
"Connecticut","Bachelor's Degree",2011-01-01,"428000","1929757"
"Connecticut","Graduate degree",2011-01-01,"313000","1929757"
"Connecticut","Not a high school graduate",2010-01-01,"175000","1924995"
"Connecticut","High school diploma or GED",2010-01-01,"868000","1924995"
"Connecticut","Associate Degree",2010-01-01,"148000","1924995"
"Connecticut","Bachelor's Degree",2010-01-01,"425000","1924995"
"Connecticut","Graduate degree",2010-01-01,"310000","1924995"
"Connecticut","Not a high school graduate",2015-01-01,"154000","1899682"
"Connecticut","High school diploma or GED",2015-01-01,"829000","1899682"
"Connecticut","Associate Degree",2015-01-01,"156000","1899682"
"Connecticut","Bachelor's Degree",2015-01-01,"451000","1899682"
"Connecticut","Graduate degree",2015-01-01,"321000","1899682"
"Connecticut","Not a high school graduate",2014-01-01,"158000","1909009"
"Connecticut","High school diploma or GED",2014-01-01,"834000","1909009"
"Connecticut","Associate Degree",2014-01-01,"153000","1909009"
"Connecticut","Bachelor's Degree",2014-01-01,"445000","1909009"
"Connecticut","Graduate degree",2014-01-01,"326000","1909009"
"Connecticut","Not a high school graduate",2013-01-01,"160000","1916929"
"Connecticut","High school diploma or GED",2013-01-01,"843000","1916929"
"Connecticut","Associate Degree",2013-01-01,"155000","1916929"
"Connecticut","Bachelor's Degree",2013-01-01,"433000","1916929"
"Connecticut","Graduate degree",2013-01-01,"330000","1916929"
"Delaware","Not a high school graduate",2019-01-01,"47000","500073"
"Delaware","High school diploma or GED",2019-01-01,"236000","500073"
"Delaware","Associate Degree",2019-01-01,"43000","500073"
"Delaware","Bachelor's Degree",2019-01-01,"105000","500073"
"Delaware","Graduate degree",2019-01-01,"67000","500073"
"Delaware","Not a high school graduate",2018-01-01,"47000","497843"
"Delaware","High school diploma or GED",2018-01-01,"255000","497843"
"Delaware","Associate Degree",2018-01-01,"39000","497843"
"Delaware","Bachelor's Degree",2018-01-01,"95000","497843"
"Delaware","Graduate degree",2018-01-01,"63000","497843"
"Delaware","Not a high school graduate",2017-01-01,"44000","495521"
"Delaware","High school diploma or GED",2017-01-01,"254000","495521"
"Delaware","Associate Degree",2017-01-01,"40000","495521"
"Delaware","Bachelor's Degree",2017-01-01,"97000","495521"
"Delaware","Graduate degree",2017-01-01,"65000","495521"
"Delaware","Not a high school graduate",2016-01-01,"50000","493647"
"Delaware","High school diploma or GED",2016-01-01,"247000","493647"
"Delaware","Associate Degree",2016-01-01,"41000","493647"
"Delaware","Bachelor's Degree",2016-01-01,"95000","493647"
"Delaware","Graduate degree",2016-01-01,"64000","493647"
"Delaware","Not a high school graduate",2012-01-01,"47000","477700"
"Delaware","High school diploma or GED",2012-01-01,"247000","477700"
"Delaware","Associate Degree",2012-01-01,"36000","477700"
"Delaware","Bachelor's Degree",2012-01-01,"93000","477700"
"Delaware","Graduate degree",2012-01-01,"55000","477700"
"Delaware","Not a high school graduate",2011-01-01,"53000","476902"
"Delaware","High school diploma or GED",2011-01-01,"245000","476902"
"Delaware","Associate Degree",2011-01-01,"36000","476902"
"Delaware","Bachelor's Degree",2011-01-01,"88000","476902"
"Delaware","Graduate degree",2011-01-01,"55000","476902"
"Delaware","Not a high school graduate",2010-01-01,"49000","473032"
"Delaware","High school diploma or GED",2010-01-01,"246000","473032"
"Delaware","Associate Degree",2010-01-01,"38000","473032"
"Delaware","Bachelor's Degree",2010-01-01,"84000","473032"
"Delaware","Graduate degree",2010-01-01,"55000","473032"
"Delaware","Not a high school graduate",2015-01-01,"50000","490605"
"Delaware","High school diploma or GED",2015-01-01,"239000","490605"
"Delaware","Associate Degree",2015-01-01,"43000","490605"
"Delaware","Bachelor's Degree",2015-01-01,"95000","490605"
"Delaware","Graduate degree",2015-01-01,"64000","490605"
"Delaware","Not a high school graduate",2014-01-01,"49000","485916"
"Delaware","High school diploma or GED",2014-01-01,"239000","485916"
"Delaware","Associate Degree",2014-01-01,"42000","485916"
"Delaware","Bachelor's Degree",2014-01-01,"96000","485916"
"Delaware","Graduate degree",2014-01-01,"60000","485916"
"Delaware","Not a high school graduate",2013-01-01,"50000","481293"
"Delaware","High school diploma or GED",2013-01-01,"240000","481293"
"Delaware","Associate Degree",2013-01-01,"39000","481293"
"Delaware","Bachelor's Degree",2013-01-01,"91000","481293"
"Delaware","Graduate degree",2013-01-01,"62000","481293"
"Florida","Not a high school graduate",2019-01-01,"1165000","11019475"
"Florida","High school diploma or GED",2019-01-01,"5183000","11019475"
"Florida","Associate Degree",2019-01-01,"1198000","11019475"
"Florida","Bachelor's Degree",2019-01-01,"2249000","11019475"
"Florida","Graduate degree",2019-01-01,"1191000","11019475"
"Florida","Not a high school graduate",2018-01-01,"1140000","10934375"
"Florida","High school diploma or GED",2018-01-01,"5246000","10934375"
"Florida","Associate Degree",2018-01-01,"1177000","10934375"
"Florida","Bachelor's Degree",2018-01-01,"2211000","10934375"
"Florida","Graduate degree",2018-01-01,"1170000","10934375"
"Florida","Not a high school graduate",2017-01-01,"1144000","10816123"
"Florida","High school diploma or GED",2017-01-01,"5202000","10816123"
"Florida","Associate Degree",2017-01-01,"1207000","10816123"
"Florida","Bachelor's Degree",2017-01-01,"2162000","10816123"
"Florida","Graduate degree",2017-01-01,"1090000","10816123"
"Florida","Not a high school graduate",2016-01-01,"1220000","10645778"
"Florida","High school diploma or GED",2016-01-01,"5161000","10645778"
"Florida","Associate Degree",2016-01-01,"1152000","10645778"
"Florida","Bachelor's Degree",2016-01-01,"2043000","10645778"
"Florida","Graduate degree",2016-01-01,"1038000","10645778"
"Florida","Not a high school graduate",2012-01-01,"1174000","10003045"
"Florida","High school diploma or GED",2012-01-01,"5014000","10003045"
"Florida","Associate Degree",2012-01-01,"1037000","10003045"
"Florida","Bachelor's Degree",2012-01-01,"1838000","10003045"
"Florida","Graduate degree",2012-01-01,"931000","10003045"
"Florida","Not a high school graduate",2011-01-01,"1216000","9928370"
"Florida","High school diploma or GED",2011-01-01,"5031000","9928370"
"Florida","Associate Degree",2011-01-01,"1004000","9928370"
"Florida","Bachelor's Degree",2011-01-01,"1753000","9928370"
"Florida","Graduate degree",2011-01-01,"905000","9928370"
"Florida","Not a high school graduate",2010-01-01,"1254000","9825196"
"Florida","High school diploma or GED",2010-01-01,"4972000","9825196"
"Florida","Associate Degree",2010-01-01,"960000","9825196"
"Florida","Bachelor's Degree",2010-01-01,"1739000","9825196"
"Florida","Graduate degree",2010-01-01,"878000","9825196"
"Florida","Not a high school graduate",2015-01-01,"1162000","10434689"
"Florida","High school diploma or GED",2015-01-01,"5121000","10434689"
"Florida","Associate Degree",2015-01-01,"1130000","10434689"
"Florida","Bachelor's Degree",2015-01-01,"2019000","10434689"
"Florida","Graduate degree",2015-01-01,"1017000","10434689"
"Florida","Not a high school graduate",2014-01-01,"1161000","10244362"
"Florida","High school diploma or GED",2014-01-01,"5106000","10244362"
"Florida","Associate Degree",2014-01-01,"1124000","10244362"
"Florida","Bachelor's Degree",2014-01-01,"1897000","10244362"
"Florida","Graduate degree",2014-01-01,"963000","10244362"
"Florida","Not a high school graduate",2013-01-01,"1176000","10099724"
"Florida","High school diploma or GED",2013-01-01,"5016000","10099724"
"Florida","Associate Degree",2013-01-01,"1078000","10099724"
"Florida","Bachelor's Degree",2013-01-01,"1879000","10099724"
"Florida","Graduate degree",2013-01-01,"934000","10099724"
"Georgia","Not a high school graduate",2019-01-01,"619000","5585665"
"Georgia","High school diploma or GED",2019-01-01,"2576000","5585665"
"Georgia","Associate Degree",2019-01-01,"469000","5585665"
"Georgia","Bachelor's Degree",2019-01-01,"1186000","5585665"
"Georgia","Graduate degree",2019-01-01,"708000","5585665"
"Georgia","Not a high school graduate",2018-01-01,"624000","5541298"
"Georgia","High school diploma or GED",2018-01-01,"2589000","5541298"
"Georgia","Associate Degree",2018-01-01,"472000","5541298"
"Georgia","Bachelor's Degree",2018-01-01,"1151000","5541298"
"Georgia","Graduate degree",2018-01-01,"685000","5541298"
"Georgia","Not a high school graduate",2017-01-01,"644000","5494105"
